frame, quadrant, color, entry/exit 
221, 3, Orange, entry
221, 4, None, entry
222, 1, White, entry
222, 2, White, entry
222, 3, Orange, entry
222, 4, None, entry
223, 1, White, entry
223, 2, White, entry
223, 3, Orange, entry
223, 4, None, entry
224, 1, White, entry
224, 2, White, entry
224, 3, Orange, entry
224, 4, None, entry
225, 1, White, entry
225, 2, White, entry
225, 3, Orange, entry
225, 4, None, entry
226, 1, White, entry
226, 2, White, entry
226, 3, Orange, entry
226, 4, None, entry
227, 1, White, entry
227, 2, White, entry
227, 3, Orange, entry
227, 4, None, entry
228, 1, White, entry
228, 2, White, entry
228, 3, Orange, entry
228, 4, None, entry
229, 1, White, entry
229, 2, White, entry
229, 3, Orange, entry
229, 4, None, entry
230, 1, White, entry
230, 2, White, entry
230, 3, Orange, entry
230, 4, None, entry
231, 1, White, entry
231, 2, White, entry
231, 3, Orange, entry
231, 4, None, entry
232, 1, White, entry
232, 2, White, entry
232, 3, Orange, entry
232, 4, None, entry
233, 1, White, entry
233, 2, White, entry
233, 3, Orange, entry
233, 4, None, entry
234, 1, White, entry
234, 2, White, entry
234, 3, Orange, entry
234, 4, None, entry
235, 1, White, entry
235, 2, White, entry
235, 3, Orange, entry
235, 4, None, entry
236, 1, White, entry
236, 2, White, entry
236, 3, Orange, entry
236, 4, None, entry
237, 1, White, entry
237, 2, White, entry
237, 3, Orange, entry
237, 4, None, entry
238, 1, White, entry
238, 2, White, entry
238, 3, Orange, entry
238, 4, None, entry
239, 1, White, entry
239, 2, White, entry
239, 3, Orange, entry
239, 4, None, entry
240, 1, White, entry
240, 2, White, entry
240, 3, Orange, entry
240, 4, None, entry
241, 1, White, entry
241, 2, White, entry
241, 3, Orange, entry
241, 4, None, entry
242, 1, White, entry
242, 2, White, entry
242, 3, Orange, entry
242, 4, None, entry
243, 1, White, entry
243, 2, White, entry
243, 3, Orange, entry
243, 4, None, entry
244, 1, White, entry
244, 2, White, entry
244, 3, Orange, entry
244, 4, None, entry
245, 1, White, entry
245, 2, White, entry
245, 3, Orange, entry
245, 4, None, entry
246, 1, White, entry
246, 2, White, entry
246, 3, Orange, entry
246, 4, None, entry
247, 1, White, entry
247, 2, White, entry
247, 3, Orange, entry
247, 4, None, entry
248, 1, White, entry
248, 2, White, entry
248, 3, Orange, entry
248, 4, None, entry
249, 1, White, entry
249, 2, White, entry
249, 3, Orange, entry
249, 4, None, entry
250, 1, White, entry
250, 2, White, entry
250, 3, Orange, entry
250, 4, None, entry
251, 1, White, entry
251, 2, White, entry
251, 3, Orange, entry
251, 4, None, entry
252, 1, White, entry
252, 2, White, entry
252, 3, Orange, entry
252, 4, None, entry
253, 1, White, entry
253, 2, White, entry
253, 3, Orange, entry
253, 4, None, entry
254, 1, White, entry
254, 2, White, entry
254, 3, Orange, entry
254, 4, None, entry
255, 1, White, entry
255, 2, White, entry
255, 3, Orange, entry
255, 4, None, entry
256, 1, White, entry
256, 2, White, entry
256, 3, Orange, entry
256, 4, None, entry
257, 1, White, entry
257, 2, White, entry
257, 3, Orange, entry
257, 4, None, entry
258, 1, White, entry
258, 2, White, entry
258, 3, Orange, entry
258, 4, None, entry
259, 1, White, entry
259, 2, White, entry
259, 3, Orange, entry
259, 4, None, entry
260, 1, White, entry
260, 2, White, entry
260, 3, Orange, entry
260, 4, None, entry
261, 1, White, entry
261, 2, White, entry
261, 3, Orange, entry
261, 4, None, entry
262, 1, White, entry
262, 2, White, entry
262, 3, Orange, entry
262, 4, None, entry
263, 1, White, entry
263, 2, White, entry
263, 3, Orange, entry
263, 4, None, entry
264, 1, White, entry
264, 2, White, entry
264, 3, Orange, entry
264, 4, None, entry
265, 1, White, entry
265, 2, White, entry
265, 3, Orange, entry
265, 4, None, entry
266, 1, White, entry
266, 2, White, entry
266, 3, Orange, entry
266, 4, None, entry
267, 1, White, entry
267, 2, White, entry
267, 3, Orange, entry
267, 4, None, entry
268, 1, White, entry
268, 2, White, entry
268, 3, Orange, entry
268, 4, None, entry
269, 1, White, entry
269, 2, White, entry
269, 3, Orange, entry
269, 4, None, entry
270, 1, White, entry
270, 2, White, entry
270, 3, Orange, entry
270, 4, None, entry
271, 1, White, entry
271, 2, White, entry
271, 3, Orange, entry
271, 4, None, entry
272, 1, White, entry
272, 2, White, entry
272, 3, Orange, entry
272, 4, None, entry
273, 1, White, entry
273, 2, White, entry
273, 3, Orange, entry
273, 4, None, entry
274, 1, White, entry
274, 2, White, entry
274, 3, Orange, entry
274, 4, None, entry
275, 1, White, entry
275, 2, White, entry
275, 3, Orange, entry
275, 4, None, entry
276, 1, White, entry
276, 2, White, entry
276, 3, Orange, entry
276, 4, None, entry
277, 1, White, entry
277, 2, White, entry
277, 3, Orange, entry
277, 4, None, entry
278, 1, White, entry
278, 2, White, entry
278, 3, Orange, entry
278, 4, None, entry
279, 1, White, entry
279, 2, White, entry
279, 3, Orange, entry
279, 4, White, exit
280, 1, White, entry
280, 2, White, entry
280, 3, Orange, entry
280, 4, Yellow, exit
281, 1, White, entry
281, 2, White, entry
281, 3, Orange, entry
281, 4, Yellow, entry
282, 1, White, entry
282, 2, White, entry
282, 3, Orange, entry
282, 4, Yellow, entry
283, 1, White, entry
283, 2, White, entry
283, 3, Orange, entry
283, 4, Yellow, entry
284, 1, White, entry
284, 2, White, entry
284, 3, Orange, entry
284, 4, Yellow, entry
285, 1, White, entry
285, 2, White, entry
285, 3, Orange, entry
285, 4, Yellow, entry
286, 1, White, entry
286, 2, White, entry
286, 3, Orange, entry
286, 4, Yellow, entry
287, 1, White, entry
287, 2, White, entry
287, 3, Orange, entry
287, 4, White, exit
288, 1, White, entry
288, 2, White, entry
288, 3, Orange, entry
288, 4, White, entry
289, 1, White, entry
289, 2, White, entry
289, 3, Orange, entry
289, 4, White, entry
290, 1, White, entry
290, 2, White, entry
290, 3, Orange, entry
290, 4, White, entry
291, 1, White, entry
291, 2, White, entry
291, 3, Orange, entry
291, 4, White, entry
292, 1, White, entry
292, 2, White, entry
292, 3, Orange, entry
292, 4, White, entry
293, 1, White, entry
293, 2, White, entry
293, 3, Orange, entry
293, 4, White, entry
294, 1, White, entry
294, 2, White, entry
294, 3, Orange, entry
294, 4, White, entry
295, 1, White, entry
295, 2, White, entry
295, 3, Orange, entry
295, 4, White, entry
296, 1, White, entry
296, 2, White, entry
296, 3, Orange, entry
296, 4, White, entry
297, 1, White, entry
297, 2, White, entry
297, 3, Orange, entry
297, 4, White, entry
298, 1, White, entry
298, 2, White, entry
298, 3, Orange, entry
298, 4, White, entry
299, 1, White, entry
299, 2, White, entry
299, 3, Orange, entry
299, 4, White, entry
300, 1, White, entry
300, 2, White, entry
300, 3, Orange, entry
300, 4, White, entry
301, 1, White, entry
301, 2, White, entry
301, 3, Orange, entry
301, 4, White, entry
302, 1, White, entry
302, 2, White, entry
302, 3, Orange, entry
302, 4, White, entry
303, 1, White, entry
303, 2, White, entry
303, 3, Orange, entry
303, 4, White, entry
304, 1, White, entry
304, 2, White, entry
304, 3, Orange, entry
304, 4, Green, exit
305, 1, White, entry
305, 2, White, entry
305, 3, Orange, entry
305, 4, Green, entry
306, 1, White, entry
306, 2, White, entry
306, 3, Orange, entry
306, 4, Green, entry
307, 1, White, entry
307, 2, White, entry
307, 3, Orange, entry
307, 4, Green, entry
308, 1, White, entry
308, 2, White, entry
308, 3, Orange, entry
308, 4, Green, entry
309, 1, White, entry
309, 2, White, entry
309, 3, Orange, entry
309, 4, Green, entry
310, 1, White, entry
310, 2, White, entry
310, 3, Orange, entry
310, 4, Green, entry
311, 1, White, entry
311, 2, White, entry
311, 3, Orange, entry
311, 4, Green, entry
312, 1, White, entry
312, 2, White, entry
312, 3, Orange, entry
312, 4, Green, entry
313, 1, White, entry
313, 2, White, entry
313, 3, Orange, entry
313, 4, Green, entry
314, 1, White, entry
314, 2, White, entry
314, 3, Orange, entry
314, 4, Green, entry
315, 1, White, entry
315, 2, White, entry
315, 3, Orange, entry
315, 4, Green, entry
316, 1, White, entry
316, 2, White, entry
316, 3, Orange, entry
316, 4, Green, entry
317, 1, White, entry
317, 2, White, entry
317, 3, Orange, entry
317, 4, White, exit
318, 1, White, entry
318, 2, White, entry
318, 3, Orange, entry
318, 4, White, entry
319, 1, White, entry
319, 2, White, entry
319, 3, Orange, entry
319, 4, White, entry
320, 1, White, entry
320, 2, White, entry
320, 3, Orange, entry
320, 4, White, entry
321, 1, White, entry
321, 2, White, entry
321, 3, Orange, entry
321, 4, White, entry
322, 1, White, entry
322, 2, White, entry
322, 3, Orange, entry
322, 4, White, entry
323, 1, White, entry
323, 2, White, entry
323, 3, Orange, entry
323, 4, White, entry
324, 1, White, entry
324, 2, White, entry
324, 3, Orange, entry
324, 4, White, entry
325, 1, White, entry
325, 2, White, entry
325, 3, Orange, entry
325, 4, White, entry
326, 1, White, entry
326, 2, White, entry
326, 3, Orange, entry
326, 4, White, entry
327, 1, White, entry
327, 2, White, entry
327, 3, Orange, entry
327, 4, Yellow, exit
328, 1, White, entry
328, 2, White, entry
328, 3, Orange, entry
328, 4, Yellow, entry
329, 1, White, entry
329, 2, White, entry
329, 3, Orange, entry
329, 4, Yellow, entry
330, 1, White, entry
330, 2, White, entry
330, 3, Orange, entry
330, 4, Yellow, entry
331, 1, White, entry
331, 2, White, entry
331, 3, Orange, entry
331, 4, Yellow, entry
